dyad,task,task_order,creativity_score,LEXDIVD_essay,FRSLacsm_essay,PRES_essay,PrivateVerb_essay,TAALES.meaningfulness_colorado_average_essay
s29s30,pipe,second,9.625,72,2.170901186,40,1.538461538,346.1220096
s31s32,antenna,first,12.2675,97,1.867797954,32,1.759530792,347.0085106
s31s32,chair,second,19.9975,114,1.945638252,95,0.932568149,358.3794727
s31s32,pipe,third,20.425,119,1.772400812,92,1.248799232,361.7011643
s33s34,antenna,second,17.7585,96,2.094756325,114,1.000714796,347.102
s33s34,chair,third,19.97,111,1.839147176,129,1.445086705,362.1150512
s33s34,pipe,first,18.686,107,2.186036943,72,0.973574409,355.9855372
s35s36,antenna,third,6.58,47,2.33850053,23,2.158273381,340.4511628
s35s36,chair,second,6.558,66,2.450230953,10,1.310043668,355.0346821
s35s36,pipe,first,9.67,55,2.567964356,39,3.193277311,359.1869369
s37s38,antenna,third,12.638,75,2.125523832,101,2.130898021,340.9268585
s37s38,chair,first,10.4165,61,2.071726154,62,2.476415094,345.1824324
s37s38,pipe,second,12.2225,72,2.075464858,44,1.234567901,343.730038
s39s40,antenna,second,12.307,68,2.035619562,63,1.335311573,345.4092742
s39s40,chair,first,10.058,93,2.142398473,56,1.951951952,344.9978355
s39s40,pipe,third,9.1895,84,2.091341117,46,2.676864245,366.6128134
s3s4,antenna,second,12.2675,80,1.978739738,54,0.786516854,336.4023179
s3s4,chair,first,9.16,57,2.07477058,46,0.957592339,340.2046414
s3s4,pipe,third,11.864,81,2.246337064,54,1.553672316,363.9653061
s41s42,antenna,first,16.972,113,1.922604802,56,1.209677419,352.8178368
s41s42,chair,third,16.482,108,2.07954995,48,0.926998841,363.6905488
s41s42,pipe,second,18.686,129,1.764042818,82,1.366982124,364.845679
s43s44,antenna,first,10.125,68,2.161927447,89,1.57116451,356.8145266
s43s44,chair,second,13.581,80,2.132623997,61,1.847187238,357.2696493
s43s44,pipe,third,10.4835,88,1.947993301,46,1.531393568,351.8822115
s45s46,antenna,second,10.068,51,2.101763632,65,1.849405548,334.7100694
s45s46,chair,third,8.329,39,2.105236728,39,2.819956616,338.4519774
s45s46,pipe,first,8.2995,39,2.265358071,105,2.272727273,344.9651811
s47s48,antenna,third,11.74,66,2.200739334,50,0.909090909,356.531746
s47s48,chair,second,10.046,74,2.10287444,34,2.191780822,354.4754098
s47s48,pipe,first,12.2525,61,2.279455691,103,2.943581357,369.7641723
s49s50,antenna,third,8.695,116,2.054096661,75,1.494885917,349.2559395
s49s50,chair,first,8.329,51,2.250350241,39,1.654135338,348.0038835
s49s50,pipe,second,10.9365,101,2.018699854,68,1.159114858,354.3815029
s51s52,antenna,second,15.706,85,2.042910703,72,1.860465116,356.5794393
s51s52,chair,first,18.686,85,1.974351094,64,1.664145234,360.694499
s51s52,pipe,third,14.392,86,2.082449915,39,1.284796574,359.8625
s54s55,antenna,first,19.582,204,1.75719379,125,1.047904192,340.269914
s54s55,chair,third,16.9745,142,1.74542901,73,0.669216061,359.9562842
s54s55,pipe,second,15.228,146,1.8518466,72,0.708591674,349.1939163
s55s56,antenna,first,11.431,62,2.065376603,39,2.05371248,339.4471366
s55s56,chair,second,11.75,65,1.999521743,39,1.398601399,350.2772436
s55s56,pipe,third,13.9715,87,2.067627316,83,1.355932203,352.7861482
s57s58,antenna,second,15.1805,106,2.008721776,57,1.876379691,365.413961
s57s58,chair,third,17.38,103,2.043611471,75,0.868055556,355
s57s58,pipe,first,13.4415,92,1.965561218,51,2.297592998,364.5984496
s59s60,antenna,third,15.738,84,1.910993304,125,2.175125488,352.281155
s59s60,chair,second,11.7795,73,1.901657126,66,3.099361896,362.1924939
s59s60,pipe,first,12.193,64,2.020304263,104,2.602230483,364.4102564
s5s6,antenna,first,11.797,78,1.982943471,52,1.792573624,350.955595
s5s6,chair,second,16.106,115,1.842532947,84,1.065340909,361.7360558
s5s6,pipe,third,17.8825,101,1.900767219,85,1.250868659,357.347181
s61s62,antenna,third,11.3915,83,1.999564261,67,2.285714286,357.068564
s61s62,chair,first,10.058,65,1.988398604,34,2.868068834,357.8653367
s61s62,pipe,second,11.7775,68,1.911553176,54,1.799485861,355.9237589
s63s64,antenna,second,15.773,89,2.011955312,148,0.845219229,356.3080324
s63s64,chair,first,16.9175,81,2.192705907,97,1.464307505,356.999179
s63s64,pipe,third,16.9845,75,2.199982552,111,1.648351648,359.3932119
s65s66,antenna,first,10.4935,79,1.915147374,33,2.217741935,350.1206897
s65s66,chair,third,12.2105,76,1.914674668,27,2.845528455,372.3623978
s65s66,pipe,second,11.3695,68,1.934596582,29,1.830663616,363.1912226
s67s68,antenna,first,11.8465,82,1.905996857,60,1.305220884,349.7119114
s67s68,chair,third,7.797,78,1.999936534,76,1.61883738,355.6215139
s67s68,pipe,second,13.4945,76,1.984334088,78,2.204836415,354.8216319
s69s70,antenna,second,15.243,105,1.813176364,40,0.916230366,356.3339768
s69s70,chair,third,11.797,121,1.885891711,23,0.652173913,355.8152866
s69s70,pipe,first,11.807,79,1.950284388,43,1.044776119,350.299389
s71s72,antenna,third,13.1875,107,1.905489328,55,1.718907988,350.0976676
s71s72,chair,second,9.215,88,2.156668877,41,1.64556962,359.3805461
s71s72,pipe,first,8.262,99,2.084132017,22,2.16802168,356.0038314
s73s74,antenna,third,12.752,78,2.2655191,108,1.715854496,347.1862836
s73s74,chair,first,11.285,70,2.369402772,79,2.259887006,362.6583851
s73s74,pipe,second,13.1305,59,2.218057512,133,1.601708489,356.4759648
s77s78,antenna,third,14.046,83,1.821867162,91,1.523656776,344.5642458
s77s78,chair,second,12.648,66,2.007776595,58,0.844277674,353.7200929
s77s78,pipe,first,15.7005,59,2.039076257,69,1.979166667,359.5994587
s8s9,antenna,second,11.7475,98,1.96914323,43,0.895856663,337.7142857
s8s9,chair,third,6.4735,81,1.997270951,26,2.611940299,357.6875
s8s9,pipe,first,11.785,83,2.097605071,63,1.048218029,352.4
s9s10,antenna,second,11.7795,79,2.061735144,91,2.25375626,350.825167
s9s10,chair,first,9.17,68,2.21623924,92,2.079510703,362.3626984
s9s10,pipe,third,11.3245,69,2.198953672,51,2.673796791,355.6869245
s75 s76,antenna,second,14.4615,83,1.821867162,91,1.523656776,344.5642458
s75 s76,chair,third,13.079,66,2.007776595,58,0.844277674,353.7200929
s75 s76,pipe,first,11.4015,59,2.039076257,69,1.979166667,359.5994587
