#word	meanc
answered	0
answered	0
answering	0
answers	0
ant	415
anta	0
antagonism	0
antagonist	0
antagonistic	0
antagonize	0
antarctic	0
antarctic	0
ante	0
ante	0
antecedent	0
antecedent	0
antecedent	0
antedate	0
antedate	0
antelope	0
antelope	0
anterior	0
anteroom	0
anthem	0
anthem	0
anther	0
anthology	0
anthony	0
anthracite	0
anthropological	0
anthropologist	0
anthropomorphic	0
anti	0
antibiotic	0
antibiotic	0
antibody	0
antic	0
antic	0
antic	0
anticipate	0
anticipate	0
anticipation	0
anticipatory	0
antidote	0
antidote	0
antipathy	0
antiphonal	0
antiphonal	0
antipodes	0
antiquarian	0
antiquarian	0
antiquated	0
antiquated	0
antique	405
antique	405
antique	405
antiquity	0
antiquity	0
antiseptic	0
antiseptic	0
antisocial	0
antitoxin	0
antler	0
antler	0
anvil	0
anvil	0
anxiety	0
anxious	0
any	272
any	272
any	272
anybody	0
anyhow	0
anyhow	0
anyone	0
anyone	0
anything	0
anything	0
anyway	0
anyway	0
anyways	0
anywhere	0
anywhere	0
anywhere	0
aorta	0
apace	0
apache	0
apart	398
apart	398
apartment	490
apathetic	0
ape	538
ape	538
ape	538
aperture	0
aphorism	0
aphrodite	0
apiece	0
aplomb	0
apocalypse	0
apocalyptic	0
apocalyptic	0
apocrypha	0
apocryphal	0
apogee	0
apollonian	0
apologetic	0
apologetic	0
apologist	0
apologize	0
apology	0
apology	0
apostate	0
apostate	0
apostle	0
apostolic	0
apostolic	0
apothecary	0
appalachian	0
appalling	0
appalling	0
apparel	0
apparency	0
apparent	0
apparent	0
apparent	0
apparently	0
apparition	0
appeal	0
appeal	0
appealed	0
appealed	0
appeals	0
appear	336
appear	336
appearance	0
appeared	0
appeared	0
appearing	0
appears	0
appease	0
appellant	0
appellant	0
appellation	0
append	0
appendage	0
appendix	0
appetite	0
appetizer	0
appian	0
applaud	0
applaud	0
apple	451
apple	451
appliance	0
applicability	0
applicable	0
applicable	0
applicable	0
applicant	0
applicant	0
applicant	0
application	0
applicator	0
applied	0
applied	0
applied	0
applied	0
applies	0
apply	0
applying	0
appoint	0
appoint	0
appointed	0
appointed	0
appointed	0
appointee	0
appointing	0
appointment	0
apportion	0
apportionment	0
appraisal	0
appraise	382
appreciable	0
appreciate	0
appreciation	0
appreciative	0
apprehend	0
apprehension	0
apprehensive	0
apprentice	0
apprentice	0
apprentice	0
apprentices	0
apprenticeship	0
apprise	0
approach	0
approach	0
approachable	0
approached	0
approached	0
approaches	0
approaching	0
appropriate	0
appropriate	0
appropriate	0
appropriate	0
appropriation	0
approve	0
approved	0
approved	0
approved	0
approximate	0
approximate	0
approximate	0
approximately	0
approximation	0
appurtenance	0
apricot	0
april	0
april	0
apron	0
apron	0
apropos	0
apropos	0
apropos	0
apt	348
apt	348
aptitude	0
aptly	0
aquatic	0
aquatic	0
aqueduct	0
aqueous	0
aquiline	0
arab	0
arab	0
arabesque	0
arabesque	0
arabia	0
arabian	0
arabian	0
arabic	0
arable	0
araby	0
araby	0
arak	0
arbiter	0
arbitrary	0
arbitrary	0
arbitrate	0
arbitration	0
arbor	260
arbor	260
arboreal	0
arc	363
arcade	0
arcade	0
arcadian	0
arcadian	0
arch	371
arch	371
arch	371
arch-enemy	0
arch-heretic	0
archaeological	0
archaeologist	0
archaic	0
archaism	0
archangel	0
archbishop	0
archbishop	0
archdiocese	0
arched	0
arched	0
arched	0
archer	0
archer	0
archery	0
archetypal	0
archimedes	0
arching	0
arching	0
archipelago	0
architect	0
architectonic	0
architectonic	0
architectural	0
architecture	0
archway	0
archway	0
arctic	0
arctic	0
ardent	0
arduous	0
are	277
are	277
area	398
aren't	0
arena	0
argh	0
argh	0
argue	0
arguing	0
argument	0
argument	0
arhat	0
arianism	0
arid	385
aright	0
aright	0
arise	0
arise	0
arisen	0
arisen	0
arises	0
arising	0
aristocracy	0
aristocrat	0
aristocratic	0
aristotelian	0
aristotelian	0
arithmetic	0
arithmetical	0
arithmetical	0
ark	392
ark	392
arm	428
arm	428
armadillo	0
armageddon	0
armament	0
armature	0
armature	0
armature	0
armchair	0
armed	0
armed	0
armed	0
armenian	0
armenian	0
armful	0
armhole	0
armistice	0
armoire	0
armor	363
armory	0
armour	0
armour	0
armpit	0
arms	0
army	515
aroma	0
aromatic	0
aromatic	0
arose	0
arose	0
around	0
around	0
arousal	0
arouse	0
arouse	0
arrack	0
arraign	0
arraign	0
arrange	0
arranged	0
arranged	0
arrangement	0
arranges	0
arranging	0
arrant	0
array	0
array	0
arrest	0
arrest	0
arrested	0
arrested	0
arrival	0
arrive	0
arrive	0
arrived	0
arrived	0
arriving	0
arrogant	0
arrogant	0
arrogate	0
arrow	0
arrow	0
arroyo	0
arse	0
arsenal	0
arsenic	0
art	565
art	565
arterial	0
artery	0
artery	0
artery	0
artful	0
artichoke	0
article	0
article	0
articles	0
articulate	0
articulate	0
articulate	0
artifice	0
artificer	0
artificial	428
artificial	428
artificiality	0
artificially	0
artillerist	0
artisan	0
artisan	0
artist	528
artist	528
artiste	0
artistic	0
artless	0
arty	0
as	238
as	238
as	238
as	238
ascend	0
ascending	0
ascending	0
ascension	0
ascent	0
ascertain	0
ascertainable	0
ascetic	0
ascetic	0
ascribe	0
ascribed	0
ascribed	0
aseptic	0
aseptic	0
ash	350
ash	350
ashamed	431
ashamed	431
ashen	283
ashmolean	0
ashore	0
asian	0
asian	0
asiatic	0
asiatic	0
aside	0
aside	0
aside	0
asinine	0
ask	0
ask	0
askance	0
askance	0
askance	0
askance	0
asked	0
asked	0
askew	0
askew	0
askew	0
asking	0
asking	0
asks	0
asleep	0
asleep	0
asleep	0
aspect	0
aspect	0
aspen	0
aspen	0
aspersion	0
asphalt	385
asphalt	385
aspic	0
aspirant	0
aspirant	0
aspiration	0
aspire	0
aspirin	445
aspiring	0
aspiring	0
ass	0
ass	0
assai	0
assail	0
assail	0
assailant	0
assailant	0
assassin	0
assassin	0
assassin	0
assassinate	0
assassinate	0
assassination	0
assault	0
assault	0
assault	0
assault	0
assay	0
assay	0
assemblage	0
assemble	0
assemble	0
assembled	0
assembled	0
assembly	0
assent	0
assent	0
assent	0
assert	0
assert	0
assertion	0
assertive	0
assess	0
assess	0
assessed	0
assessed	0
assessed	0
assessment	0
assessment	0
assessor	0
asset	0
assets	0
assiduity	0
assiduous	0
assign	0
assign	0
assignee	0
assignee	0
assignment	0
assimilate	0
assimilate	0
assimilate	0
assist	425
assistance	0
assistant	0
assistant	0
assisting	0
associate	0
associate	0
associate	0
associate	0
associated	0
associated	0
associated	0
association	0
assonance	0
assortment	0
assuage	0
assume	0
assumed	0
assumed	0
assuming	0
assumption	0
assurance	0
assure	0
assure	0
assured	0
assured	0
assured	0
assured	0
assuredly	0
assyrian	0
assyrian	0
assyriology	0
aster	0
asteria	0
asterisk	0
asterisk	0
astern	0
astern	0
asteroid	0
asteroid	0
astir	0
astir	0
astir	0
astonish	0
astonished	0
astonished	0
astonishing	0
astonishing	0
astonishing	0
astound	0
astound	0
astounded	0
astounded	0
astral	0
astral	0
astray	0
astray	0
astray	0
astride	0
astride	0
astride	0
astringent	0
astringent	0
astrolabe	0
astrologer	0
astrological	0
astronaut	0
astronomer	0
astronomical	0
astronomical	0
astute	281
asunder	0
asunder	0
asylum	0
asymmetric	0
asymmetry	0
asymptote	0
asymptote	0
asymptotic	0
at	258
at	258
at	258
at	258
atavistic	0
ate	403
atheist	0
atheist	0
atheistic	0
athenian	0
athirst	0
athirst	0
athlete	0
athletic	0
athletic	0
athleticism	0
athwart	0
athwart	0
atlantes	0
atlantic	0
atlantic	0
atlas	0
atlas	0
atmosphere	0
atmosphere	0
atmospheric	0
atom	426
atom	426
atomic	0
atomic	0
atone	0
atone	0
atop	0
atop	0
atrocious	0
atrocity	0
atrophic	0
atrophy	0
attach	0
attach	0
attached	0
attached	0
attached	0
attaches	0
attachment	0
attack	476
attack	476
attacked	0
attacked	0
attacker	0
attacking	0
attacks	0
attain	0
attain	0
attainable	0
attained	0
attained	0
attainment	0
attempt	0
attempt	0
attempted	0
attempted	0
attempts	0
attend	410
attendance	0
attendant	0
attendant	0
attending	0
attention	0
attentive	0
attest	0
attest	0
attic	0
attic	0
attire	0
attitude	0
attorney	0
attorney	0
attract	0
attract	0
attracted	0
attracted	0
attraction	0
attractive	0
attractive	0
attributable	0
attribute	0
attribute	0
attribute	0
attune	0
attune	0
atypical	0
auberge	0
auburn	0
auburn	0
auction	0
auction	0
auctioneer	0
auctioneer	0
audacious	0
audible	0
audible	0
audience	0
audit	0
audit	0
audition	397
audition	397
auditor	0
auditorium	380
auditory	0
auditory	0
auf	0
auger	0
aught	0
aught	0
aught	0
augment	0
augment	0
augmentation	0
augur	0
augur	0
august	0
august	0
august	0
augustan	0
augustan	0
augustin	0
augustin	0
auld	0
auld	0
aunt	498
auntie	0
aura	0
aural	197
aureomycin	0
aurora	0
auscultation	0
auspice	0
auspicious	0
austere	0
austerity	0
austin	0
australian	0
australian	0
austrian	0
austrian	0
authentic	470
authentic	470
authenticate	0
author	502
author	502
author	502
authoritarian	0
authoritarian	0
authoritative	0
authority	0
authorize	0
authorized	0
authorized	0
authorized	0
autistic	0
auto	0
autobiographic	0
autobiographical	0
autobiography	0
autocracy	0
autocrat	0
autocratic	0
autograph	0
autograph	0
autograph	0
automate	0
automate	0
automate	0
automatic	0
automatic	0
automatically	0
automobile	0
automobile	0
automobile	0
autonomic	0
autonomous	0
autonomy	0
autopsy	0
autumn	0
autumn	0
autumnal	0
auxiliary	0
auxiliary	0
avail	0
available	0
availed	0
availed	0
avalanche	0
avalanche	0
avant	0
avaricious	0
ave	0
ave	0
avenge	0
avenge	0
aventine	0
avenue	0
avenue	0
aver	0
aver	0
average	0
average	0
average	0
averse	0
averse	0
averse	0
aversion	0
avert	0
averted	0
averted	0
aviary	0
aviator	0
avid	303
avis	0
avocado	0
avocation	0
avoid	0
avoid	0
avouch	0
avouch	0
avow	0
avow	0
avowal	0
avowed	0
avowed	0
avowed	0
aw	0
await	0
await	0
awake	0
awake	0
awake	0
awaken	0
awakening	0
awakening	0
award	0
award	0
aware	0
aware	0
awash	0
awash	0
awash	0
away	384
away	384
awe	0
aweigh	162
awesome	0
awful	0
awfully	0
awhile	0
awkward	476
awkward	476
awl	200
awning	0
awoke	0
awoke	0
awry	0
awry	0
awry	0
ax	0
ax	0
axe	0
axe	0
axial	0
axil	289
axiom	255
axiomatic	0
axle	357
ay	0
ay	0
ay	0
aye	210
aye	210
aye	210
aye	210
azalea	0
azure	0
azure	0
azure	0
ba	0
ba	0
baa	0
baa	0
babble	0
babe	0
babel	0
babies	0
baboon	0
baby	573
baby	573
babylon	0
babylonian	0
babylonian	0
bacchus	0
bachelor	0
back	418
back	418
back	418
back	418
back	418
backbone	0
backdated	0
backdated	0
backed	0
backed	0
backed	0
backed	0
background	0
background	0
backhanded	0
backing	0
backing	0
backing	0
backlog	0
backlog	0
backs	0
backs	0
backside	0
backsliding	0
backstairs	0
backstitch	0
backward	0
backward	0
backward	0
backward	0
backwards	0
backwards	0
backwards	0
backwards	0
backwater	0
backwater	0
backwoods	0
bacterial	0
bad	531
bade	0
bade	0
bade	0
badge	410
badge	410
badger	0
badger	0
badinage	0
badly	0
baffle	0
baffle	0
baffled	0
baffled	0
bag	0
bag	0
baggage	0
bagged	0
bagged	0
bagged	0
baggy	0
bagpipe	380
bagpipe	380
bags	0
bah	0
bail	384
bail	384
bailed	0
bailed	0
bailey	0
bailiff	0
baircraft	0
bairn	0
bait	0
bait	0
bake	0
bake	0
baker	0
bakery	0
bal	0
balance	0
balance	0
balances	0
balancing	0
balcony	0
bald	0
bald	0
bald	0
bale	278
bale	278
bale	278
baled	0
baled	0
baleful	0
balk	0
balk	0
ball	515
ball	515
ball	515
ballad	0
ballad	0
ballard	0
ballast	0
balled	0
balled	0
balled	0
ballerina	0
ballet	0
balling	0
balling	0
ballistic	0
ballistics	0
balloon	394
balloon	394
ballot	0
ballot	0
ballroom	0
balm	0
balmy	0
balsam	0
balsam	0
baltimore	0
balustrade	0
bamboo	0
bamboo	0
ban	0
ban	0
banal	0
banality	213
banana	449
banana	449
banbury	0
band	477
band	477
bandage	482
bandage	482
bandanna	0
bandanna	0
banding	0
banding	0
bandit	0
bandit	0
bandon	0
bandon	0
bandstand	0
bandy	0
bandy	0
bandy	0
bane	0
baneful	0
bang	391
bang	391
bang	391
bang	391
banging	0
banish	0
banister	0
banister	0
banjo	0
bank	465
bank	465
banker	427
banking	0
banking	0
bankrupt	0
bankrupt	0
bankrupt	0
bankruptcy	0
bankruptcy	0
banks	0
banner	0
banner	0
banquet	0
banquet	0
banshee	0
banter	0
baptism	0
baptismal	0
baptist	0
baptist	0
baptistery	0
baptize	0
bar	500
bar	500
bar	500
barb	0
barb	0
barb	0
barbara	0
barbarian	0
barbarian	0
barbaric	0
barbarism	0
barbarous	0
barbecue	0
barbecue	0
barbed	0
barbed	0
barber	0
barber	0
barbiturate	0
bard	249
bard	249
bare	453
bare	453
bare	453
bare	453
bared	0
bared	0
barefoot	0
barefoot	0
barefoot	0
barefooted	0
barefooted	0
barely	0
bargain	0
bargain	0
barge	0
barge	0
baritone	0
bark	433
bark	433
barker	0
barking	0
barking	0
barking	0
barley	0
barmy	0
barn	0
barn	0
barnacle	0
barnacle	0
barnard	0
barney	0
barometer	0
barometric	0
baron	0
baroness	0
baronet	0
baronet	0
baronial	0
barony	0
baroque	0
barr	0
barrack	0
barrack	0
barracks	0
barrage	0
barred	0
barred	0
barred	0
barrel	385
barrel	385
barren	0
barren	0
barren	0
barricade	0
barricade	0
barrier	0
barrier	0
barring	0
barring	0
barring	0
barrister	0
barrow	0
barrow	0
barry	0
barry	0
barter	0
barth	0
barton	0
bas-relief	0
basal	0
basal	0
base	398
base	398
base	398
based	0
based	0
baseless	0
basement	452
basement	452
baseness	0
bash	0
bash	0
bashaw	0
bashful	0
bashing	0
basic	0
basically	0
basil	0
basil	0
basilica	0
basilisk	0
basilisk	0
basin	405
basing	0
bask	0
bask	0
basket	407
basket	407
basking	0
basking	0
basque	0
basque	0
bass	421
bass	421
bass	421
bassinet	0
basso	0
bast	0
bastard	0
bastard	0
bastard	0
baste	0
baste	0
bastion	0
bat	412
bat	412
batch	0
bate	0
bate	0
bateau	0
bath	477
bath	477
bath	477
bathe	0
bathe	0
bathroom	0
batiste	0
baton	338
baton	338
bats	0
battalion	0
battalion	0
batten	0
batten	0
batter	0
batter	0
battering	0
battering	0
battery	0
batting	0
batting	0
battle	495
battle	495
battle	495
battle-ax	0
battlefield	0
battlement	0
battlement	0
battles	0
battleship	0
battling	0
bauble	0
bawdy	0
bawl	370
bawl	370
bay	0
bay	0
bay	0
bayed	0
bayed	0
bayed	0
bayonet	0
bayonet	0
bayou	0
bazaar	0
bbiceps	0
bbison	0
bbourgeois	0
bbrace	0
bcarp	372
bcatfish	356
bcbbass	421
bchassis	0
bcontretemps	0
bcos	0
bdeer	477
bduck	473
be	325
beach	518
beach	518
beach	518
beaches	0
beachhead	0
beacon	0
beacon	0
bead	0
bead	0
beadle	0
beadsman	0
beady	0
beagle	0
beak	385
beak	385
beaker	0
beam	386
beam	386
bean	371
beano	0
bear	408
bear	408
bearable	0
beard	434
beard	434
bearded	0
bearded	0
bearded	0
bearded	0
bearer	0
bearing	0
bearing	0
bearing	0
bearish	0
bears	0
bearskin	0
beast	0
beast	0
beastly	0
beastly	0
beat	471
beat	471
beat	471
beat	471
beaten	0
beaten	0
beaten	0
beaten	0
beater	0
beatific	0
beatification	0
beating	0
beating	0
beating	0
beau	0
beau	0
beauclerk	0
beauteous	0
beautiful	617
beautiful	617
beautifully	0
beautify	0
beauty	598
beauty	598
beauty	598
beaver	412
beaver	412
beaver	412
became	334
because	310
because	310
beck	0
beck	0
becket	0
becket	0
beckon	0
beckon	0
become	0
become	0
becomes	0
becoming	0
becoming	0
becoming	0
bed	545
bed	545
bedchamber	0
bedclothes	0
bedding	0
bedding	0
bede	0
bedeck	0
bedel	144
bedevilled	0
bedevilled	0
bedlam	0
